,professionCategories,languages,academicTitles,firstName,middleName,lastName,dateOfBirth,profession,specialization,background,person,parlGroup,position,note,_id,name,color,logo,leftRightPos,seatsWon
10,"['икономист', 'историк', 'експерт по национална сигурност и отбрана']",['руски'],[],Атанас,Зафиров,Зафиров,1971-09-29T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02c5,61aa179dd17ed11f18a07b0e,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
11,"['икономист', 'юрист']",['английски'],[],Десислава,Жекова,Танева,1972-06-09T00:00:00.000Z,,"аграрна икономика, право",,60d4cc59c4ced20a9c9e02c8,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
12,['юрист'],"['английски', 'гръцки']",[],Мария,Щерева,Белова,1980-04-25T00:00:00.000Z,,право,,60d4cc59c4ced20a9c9e02c9,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
13,['журналист'],"['английски', 'руски']",[],Александър,Тихомиров,Симов,1977-07-11T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02cb,61aa179dd17ed11f18a07b0e,член,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
14,['икономист'],['руски'],[],Хайри,Реджебов,Садъков,1970-12-18T00:00:00.000Z,,кръгова икономика,,60d4cc59c4ced20a9c9e02cc,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
15,"['икономист', 'инженер']","['английски', 'руски']",[],Христо,Танчев,Проданов,1977-03-24T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02cf,61aa179dd17ed11f18a07b0e,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
16,"['икономист', 'инженер', 'преподавател', 'предприемач']","['английски', 'немски', 'руски']",[],Благовест,Кирилов,Кирилов,1986-10-12T00:00:00.000Z,,"компютърни системи, стопанско управление, индустриален мениджмънт",,60d4cc59c4ced20a9c9e02d0,61aa179dd17ed11f18a07b0e,член,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
17,['юрист'],"['английски', 'руски']",[],Атанас,Петров,Атанасов,1959-05-17T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02d1,61aa179dd17ed11f18a07b0c,член,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
18,['инженер'],"['английски', 'френски', 'руски']",[],Петър,Ясенов,Маринов,1976-02-17T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02d2,61aa179dd17ed11f18a07b0c,член,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
19,['филолог'],"['английски', 'руски']",[],Антоанета,Димитрова,Цонева,1970-05-08T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02d3,61aa179dd17ed11f18a07b0c,член,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
20,[],[],[],Георги,Йорданов,Ганев,1967-11-16T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02d6,61aa179dd17ed11f18a07b0c,член,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
21,"['лекар', 'преподавател']","['английски', 'руски', 'турски']",[],Джевдет,Ибрям,Чакъров,1960-08-08T00:00:00.000Z,Обща хирургия,медицина,Обща хирургия,60d4cc59c4ced20a9c9e02d7,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
22,"['икономист', 'преподавател']","['английски', 'руски']",[],Румен,Димитров,Христов,1955-12-27T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02da,61aa179dd17ed11f18a07b0b,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
23,"['непоказана', 'икономист', 'политолог']","['английски', 'френски']",[],Александър,Руменов,Ненков,1983-11-07T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02db,61aa179dd17ed11f18a07b0b,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
24,['учен'],"['английски', 'руски']",[],Андрей,Иванов,Чорбанов,1967-06-01T00:00:00.000Z,,биотехнология,,60d4cc59c4ced20a9c9e02de,61aa179dd17ed11f18a07b0f,член,,61aa179dd17ed11f18a07b0f,Има такъв народ,#f4cf40,/logos/ima-takuv-narod.png,-1,25.0
25,['юрист'],['английски'],[],Ива,Митева,Йорданова-Рупчева,1972-10-25T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02df,61aa179dd17ed11f18a07b0f,член,,61aa179dd17ed11f18a07b0f,Има такъв народ,#f4cf40,/logos/ima-takuv-narod.png,-1,25.0
26,['юрист'],"['английски', 'руски']",[],Андрей,Николаев,Михайлов,1978-05-16T00:00:00.000Z,,право,,60d4cc59c4ced20a9c9e02e0,61aa179dd17ed11f18a07b0f,член,,61aa179dd17ed11f18a07b0f,Има такъв народ,#f4cf40,/logos/ima-takuv-narod.png,-1,25.0
27,['инженер'],"['английски', 'руски']",[],Георги,Страхилов,Свиленски,1970-10-09T00:00:00.000Z,,строителен инженер,,60d4cc59c4ced20a9c9e02e1,61aa179dd17ed11f18a07b0e,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
28,['инженер'],"['английски', 'руски']",[],Георги,Страхилов,Свиленски,1970-10-09T00:00:00.000Z,,строителен инженер,,60d4cc59c4ced20a9c9e02e1,61aa179dd17ed11f18a07b0e,председател на ПГ,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
29,['икономист'],['английски'],[],Владислав,Панчев,Панев,1976-04-06T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02e3,61aa179dd17ed11f18a07b0c,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
30,['икономист'],"['английски', 'руски']",[],Ивайло,Николаев,Мирчев,1980-05-06T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02e4,61aa179dd17ed11f18a07b0c,член,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
31,['икономист'],"['английски', 'френски']",[],Мартин,Димитров,Димитров,1977-04-13T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e02e5,61aa179dd17ed11f18a07b0c,член,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
32,[],[],[],Росен,Димитров,Желязков,1968-04-05T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e02e8,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
33,['политолог'],[],[],Тома,Любомиров,Биков,1980-10-10T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e02e9,61aa179dd17ed11f18a07b0b,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
34,['политолог'],['английски'],[],Евгения,Бисерова,Алексиева,1979-10-03T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e02ea,61aa179dd17ed11f18a07b0b,секретар на ПГ,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
35,['юрист'],"['английски', 'френски']",[],Корнелия,Петрова,Нинова,1969-01-16T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e02ed,61aa179dd17ed11f18a07b0e,председател на ПГ,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
36,[],[],[],Христо,Любомиров,Иванов,1974-09-13T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e02f0,61aa179dd17ed11f18a07b0c,председател на ПГ,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
37,[],[],[],Даниел,Павлов,Митов,1977-12-04T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e02f4,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
38,['юрист'],[],[],Анна,Василева,Александрова,1972-02-25T00:00:00.000Z,,право,,60d4cc5ac4ced20a9c9e02f5,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
39,['лекар'],"['английски', 'руски']",[],Лъчезар,Богомилов,Иванов,1962-08-13T00:00:00.000Z,,"медицина, здравен мениджмънт",,60d4cc5ac4ced20a9c9e02f6,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
40,['икономист'],"['английски', 'френски', 'руски']",[],Христо,Георгиев,Гаджев,1983-05-28T00:00:00.000Z,,"МБО, МО",,60d4cc5ac4ced20a9c9e02f7,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
41,['предприемач'],"['английски', 'немски', 'руски']",[],Пламен,Николаев,Николов,1977-07-29T00:00:00.000Z,,философия,,60d4cc5ac4ced20a9c9e02f9,61aa179dd17ed11f18a07b0f,член,,61aa179dd17ed11f18a07b0f,Има такъв народ,#f4cf40,/logos/ima-takuv-narod.png,-1,25.0
42,['журналист'],"['английски', 'руски']",[],Иван,Ивайлов,Ченчев,1976-08-05T00:00:00.000Z,,"треньор, мениджър",,60d4cc5ac4ced20a9c9e02fb,61aa179dd17ed11f18a07b0e,член,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
43,['журналист'],"['английски', 'руски']",[],Иван,Ивайлов,Ченчев,1976-08-05T00:00:00.000Z,,"треньор, мениджър",,60d4cc5ac4ced20a9c9e02fb,61aa179dd17ed11f18a07b0e,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
44,['юрист'],['английски'],[],Цветан,Иванов,Енчев,1971-10-21T00:00:00.000Z,,право,,60d4cc5ac4ced20a9c9e02fc,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
45,['лекар'],"['английски', 'френски']",[],Александър,Димитров,Симидчиев,1962-04-23T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e02fd,61aa179dd17ed11f18a07b0c,член,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
46,[],[],[],Младен,Найденов,Маринов,1971-11-21T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e02fe,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
47,"['юрист', 'икономист']","['английски', 'френски', 'руски', 'испански', 'италиански']",[],Николина,Панайотова,Ангелкова,1979-11-30T00:00:00.000Z,,право,,60d4cc5ac4ced20a9c9e0300,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
48,['инженер'],['английски'],[],Георги,Станчев,Георгиев,1976-12-17T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0302,62ac54683fdc47f0a912fced,член,,62ac54683fdc47f0a912fced,Независими,,,-6,
49,['инженер'],['английски'],[],Георги,Станчев,Георгиев,1976-12-17T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0302,61aa179dd17ed11f18a07b0f,член,,61aa179dd17ed11f18a07b0f,Има такъв народ,#f4cf40,/logos/ima-takuv-narod.png,-1,25.0
50,['инженер'],"['английски', 'руски']",[],Георги,Янчев,Гьоков,1961-12-13T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0303,61aa179dd17ed11f18a07b0e,член,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
51,['икономист'],"['английски', 'френски', 'руски']",[],Драгомир,Велков,Стойнев,1976-05-06T00:00:00.000Z,,икономически политики,,60d4cc5ac4ced20a9c9e0304,61aa179dd17ed11f18a07b0e,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
52,"['юрист', 'преподавател']",['английски'],[],Атанас,Владиславов,Славов,1979-12-03T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0306,61aa179dd17ed11f18a07b0c,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
53,"['преподавател', 'експерт по охрана и сигурност']","['английски', 'руски']",[],Маноил,Минчев,Манев,1969-06-23T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0309,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
54,"['социален мениджър', 'психолог']",['английски'],[],Илиана,Петкова,Жекова,1972-07-27T00:00:00.000Z,,"социални дейности, психология",,60d4cc5ac4ced20a9c9e030b,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
55,['инженер'],"['английски', 'руски']",[],Тихомир,Гочев,Тенев,1972-04-01T00:00:00.000Z,,електроника,,60d4cc5ac4ced20a9c9e030c,61aa179dd17ed11f18a07b0f,член,,61aa179dd17ed11f18a07b0f,Има такъв народ,#f4cf40,/logos/ima-takuv-narod.png,-1,25.0
56,"['политолог', 'кинезитерапевт']","['английски', 'турски']",[],Джейхан,Хасанов,Ибрямов,1977-01-28T00:00:00.000Z,,"политически науки, кинезитерапия",,60d4cc5ac4ced20a9c9e030f,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
57,"['икономист', 'финансист']","['английски', 'немски', 'турски']",[],Имрен,Исметова,Мехмедова,1990-05-03T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0310,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
58,['икономист'],[],[],Теменужка,Петрова,Петкова,1967-01-18T00:00:00.000Z,,счетоводство и контрол,,60d4cc5ac4ced20a9c9e0311,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
59,['икономист'],"['английски', 'турски']",[],Сезгин,Юсеин,Мехмед,1987-04-02T00:00:00.000Z,,"политически науки, икономика",,60d4cc5ac4ced20a9c9e0313,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
60,[],[],[],Георги,Тенев,Станков,1963-05-04T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0316,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
61,['икономист'],['английски'],[],Делян,Александров,Добрев,1978-05-14T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0317,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
62,"['лекар', 'преподавател']",[],[],Силви,Кирилов,Петров,1950-12-17T00:00:00.000Z,,"медицина, урология, здравен мениджмънт",,60d4cc5ac4ced20a9c9e0319,61aa179dd17ed11f18a07b0f,член,,61aa179dd17ed11f18a07b0f,Има такъв народ,#f4cf40,/logos/ima-takuv-narod.png,-1,25.0
63,"['юрист', 'историк']","['английски', 'немски', 'руски']",[],Иван,Валентинов,Иванов,1975-08-13T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e031a,61aa179dd17ed11f18a07b0e,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
64,['икономист'],"['английски', 'турски']",[],Мустафа,Сали,Карадайъ,1970-05-08T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e031b,61aa179dd17ed11f18a07b10,председател на ПГ,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
65,['юрист'],"['английски', 'руски', 'турски']",[],Хамид,Бари,Хамид,1973-01-05T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e031c,61aa179dd17ed11f18a07b10,зам.-председател на ПГ,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
66,['икономист'],"['английски', 'френски']",[],Красимир,Георгиев,Вълчев,1975-06-09T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e031d,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
67,['инженер'],[],[],Илтер,Бейзатов,Садъков,1983-03-04T00:00:00.000Z,,"горско стопанство, социална педагогика",,60d4cc5ac4ced20a9c9e031f,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
68,"['икономист', 'специалист по международни отношения']","['английски', 'френски', 'немски', 'руски']",[],Кристиан,Иванов,Вигенин,1975-06-12T00:00:00.000Z,,"международни отношения, макроикономика",,60d4cc5ac4ced20a9c9e0320,61aa179dd17ed11f18a07b0e,член,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
69,['юрист'],[],[],Златомира,Димитрова,Карагеоргиева-Мострова,1971-02-25T00:00:00.000Z,,право,,60d4cc5ac4ced20a9c9e0323,61aa179dd17ed11f18a07b0f,член,,61aa179dd17ed11f18a07b0f,Има такъв народ,#f4cf40,/logos/ima-takuv-narod.png,-1,25.0
70,['лекар'],"['английски', 'френски', 'немски', 'руски']",[],Георги,Георгиев,Михайлов,1958-04-25T00:00:00.000Z,,медицина,,60d4cc5ac4ced20a9c9e0324,61aa179dd17ed11f18a07b0e,член,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
71,['икономист'],['английски'],[],Халил,Реджепов,Летифов,1979-04-16T00:00:00.000Z,,психология на управлението,,60d4cc5ac4ced20a9c9e0326,61aa179dd17ed11f18a07b10,зам.-председател на ПГ,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
72,['икономист'],['руски'],[],Елхан,Мехмедов,Кълков,1973-10-26T00:00:00.000Z,,национална сигурност,,60d4cc5ac4ced20a9c9e0327,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
73,['юрист'],['руски'],[],Иван,Йорданов,Димитров,1973-04-12T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0328,61aa179dd17ed11f18a07b0c,зам.-председател на ПГ,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
74,"['финансист', 'икономист']",['английски'],[],Стефан,Апостолов,Апостолов,1988-02-28T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0329,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
75,"['инженер', 'икономист']","['английски', 'руски']",[],Петър,Георгиев,Кънев,1953-12-18T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e032f,61aa179dd17ed11f18a07b0e,член,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
76,['инженер'],"['английски', 'руски', 'турски']",[],Севим,Исмаил,Али,1981-09-13T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0331,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
77,"['икономист', 'инженер']","['английски', 'турски']",[],Ешереф,Кязим,Ешереф,1977-05-12T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0332,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
78,['журналист'],"['английски', 'немски', 'руски']",[],Любен,Любенов,Дилов,1964-11-19T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0336,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
79,['икономист'],"['английски', 'френски', 'немски', 'руски']",[],Деница,Пламенова,Николова,1977-07-23T00:00:00.000Z,,финанси,,60d4cc5ac4ced20a9c9e0338,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
80,['инженер'],"['английски', 'руски']",[],Борислав,Гуцанов,Гуцанов,1967-06-17T00:00:00.000Z,,"инж. корабоводене, сигурност и отбрана",,60d4cc5ac4ced20a9c9e033d,61aa179dd17ed11f18a07b0e,член,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
81,"['биолог', 'преподавател']","['английски', 'руски', 'турски']",[],Ерджан,Себайтин,Ебатин,1972-08-27T00:00:00.000Z,,биология и химия,,60d4cc5ac4ced20a9c9e033f,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
82,"['продуцент', 'композитор']","['английски', 'руски', 'испански']",[],Стоян,Александров,Михалев,1972-04-10T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0340,61aa179dd17ed11f18a07b0c,член,,61aa179dd17ed11f18a07b0c,Демократична България,#27497d,/logos/demokratichna-bulgaria.png,-2,16.0
83,[],"['английски', 'испански', 'руски']",[],Славена,Димитрова,Точева,1990-12-07T00:00:00.000Z,,управление на туризма,,60d4cc5ac4ced20a9c9e0344,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
84,"['специалист ИТ', 'икономист']","['английски', 'немски', 'руски']",[],Павел,Алексеев,Христов,1983-09-12T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0347,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
85,['икономист'],"['английски', 'италиански']",[],Кирил,Сашев,Симеонов,1985-06-06T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0348,62ac54683fdc47f0a912fced,член,,62ac54683fdc47f0a912fced,Независими,,,-6,
86,['икономист'],"['английски', 'италиански']",[],Кирил,Сашев,Симеонов,1985-06-06T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0348,61aa179dd17ed11f18a07b0f,член,,61aa179dd17ed11f18a07b0f,Има такъв народ,#f4cf40,/logos/ima-takuv-narod.png,-1,25.0
87,['икономист'],"['английски', 'руски']",[],Любомир,Антонов,Каримански,1971-11-19T00:00:00.000Z,,,,60d4cc5ac4ced20a9c9e0349,61aa179dd17ed11f18a07b0f,член,,61aa179dd17ed11f18a07b0f,Има такъв народ,#f4cf40,/logos/ima-takuv-narod.png,-1,25.0
